latitude,longitude,size,data,data_size
45.75,0.75,0.5,1156.5468814539447,2421.0
45.75,1.25,0.5,130092.59259259258,216.0
45.75,1.75,0.5,1288.659793814433,1164.0
45.75,2.25,0.5,90.19165727170237,4435.0
45.75,2.75,0.5,516666.6666666667,18.0
45.75,3.75,0.5,5304.21216848674,1282.0
45.75,4.25,0.5,1121.540899670852,16406.0
45.75,4.75,0.5,7090.930295844186,25723.0
45.75,5.25,0.5,592.4710600674506,76797.0
45.75,5.75,0.5,5836.823893644145,10982.0
46.25,-1.75,0.5,18217.05426356589,258.0
46.25,-1.25,0.5,521.7149993062301,36035.0
46.25,-0.75,0.5,1616.8356217117926,7793.0
46.25,-0.25,0.5,701.8787663948955,42315.0
46.25,0.25,0.5,16268.48691695108,879.0
46.25,0.75,0.5,112012.98701298701,308.0
46.25,1.25,0.5,2633.6791699920195,1253.0
46.25,1.75,0.5,537.420382165605,5024.0
46.25,2.25,0.5,490.79754601226995,2445.0
46.25,2.75,0.5,3063.308373042886,5876.0
46.25,3.25,0.5,1565.8304640104936,12198.0
46.25,3.75,0.5,1229.6564195298372,2765.0
46.25,4.25,0.5,2582.0629034473286,7281.0
46.25,4.75,0.5,3165.1640130443125,5213.0
46.25,5.25,0.5,1002.9679664312763,19542.0
46.25,5.75,0.5,524.784667161029,17531.0
46.25,6.25,0.5,4173.000912131347,13156.0
46.75,-1.75,0.5,4545.454545454546,3696.0
46.75,-1.25,0.5,191818.18181818182,220.0
46.75,-0.75,0.5,1129.363449691992,6818.0
46.75,-0.25,0.5,993.5799449709568,13084.0
46.75,0.25,0.5,193689.32038834953,206.0
46.75,0.75,0.5,19004.524886877825,1105.0
46.75,1.25,0.5,365.3271338425772,3011.0
46.75,1.75,0.5,872.4011414594374,12265.0
46.75,2.25,0.5,1779.2421746293246,3035.0
46.75,2.75,0.5,1183.2524271844661,3296.0
46.75,3.25,0.5,1840.3247631935046,11085.0
46.75,3.75,0.5,867.6789587852495,1383.0
46.75,4.25,0.5,175757.57575757575,33.0
46.75,4.75,0.5,8010.148604566872,2759.0
46.75,5.25,0.5,925.0693802035153,2162.0
46.75,5.75,0.5,716.3975437798499,8794.0
46.75,6.25,0.5,317.9650238473768,12580.0
47.25,-3.25,0.5,1171.4589989350372,2817.0
47.25,-2.75,0.5,2138.57998289136,1169.0
47.25,-2.25,0.5,774.9032882011605,82720.0
47.25,-1.75,0.5,417.1403103764278,199693.0
47.25,-1.25,0.5,293.0150094062555,147774.0
47.25,-0.75,0.5,276.5987693182511,246205.0
47.25,-0.25,0.5,213.41971029409538,132134.0
47.25,0.25,0.5,1873.708074948323,14997.0
47.25,0.75,0.5,671.6360393292448,90823.0
47.25,1.25,0.5,2382.194400973744,11502.0
47.25,1.75,0.5,1663.031624863686,3668.0
47.25,2.25,0.5,1586.5742596941404,17459.0
47.25,2.75,0.5,768.8552599463021,8194.0
47.25,3.25,0.5,783.9388145315488,5230.0
47.25,3.75,0.5,378.17396002160996,1851.0
47.25,4.25,0.5,1402.2787028921998,2282.0
47.25,4.75,0.5,1559.6279173397204,17953.0
47.25,5.25,0.5,1011.492443324937,50816.0
47.25,5.75,0.5,1361.104383627997,20645.0
47.25,6.25,0.5,319.89224682212307,35637.0
47.25,6.75,0.5,326.4846608499859,17765.0
47.75,-4.25,0.5,621.9660194174758,26368.0
47.75,-3.75,0.5,832.9028925619834,15488.0
47.75,-3.25,0.5,994.7760364565966,35988.0
47.75,-2.75,0.5,745.575437567224,40908.0
47.75,-2.25,0.5,797.1610779674965,19444.0
47.75,-1.75,0.5,977.5821476097861,19538.0
47.75,-1.25,0.5,474.05963404368435,22571.0
47.75,-0.75,0.5,218.96541736662226,86315.0
47.75,-0.25,0.5,423.106597974066,40179.0
47.75,0.25,0.5,2143.135472139239,7699.0
47.75,0.75,0.5,1822.7529855436833,4773.0
47.75,1.25,0.5,2404.8458548051713,11061.0
47.75,1.75,0.5,1149.3594516677167,52377.0
47.75,2.25,0.5,415.6817996576738,12269.0
47.75,2.75,0.5,1876.570351758794,12736.0
47.75,3.25,0.5,8933.002481389578,403.0
47.75,3.75,0.5,517241.3793103448,29.0
47.75,4.25,0.5,869.9855002416627,2069.0
47.75,4.75,0.5,348.1894150417827,1436.0
47.75,5.25,0.5,2437.759336099585,3856.0
47.75,6.25,0.5,400000.0,8.0
47.75,6.75,0.5,1483.3832548851803,14022.0
48.25,-4.75,0.5,511.0803904319048,23871.0
48.25,-4.25,0.5,1198.3977223822292,30207.0
48.25,-3.75,0.5,1374.5091038914672,5602.0
